date,gdp_growth,inflation,unemployment,yield_spread,recession
2000-01-01,,3.68292,20.19,,1.0
2000-03-31,,3.68292,20.198,,1.0
2000-04-01,,5.26314,20.198,,1.0
2000-06-30,,5.26314,20.198,,1.0
2000-07-01,,4.14386,20.198,,1.0
2000-09-30,,4.14386,20.198,,1.0
2000-10-01,,2.9862,20.198,,1.0
2000-12-31,,2.9862,20.198,,1.0
2001-01-01,,2.93437,20.198,,1.0
2001-03-31,,2.93437,20.422,,1.0
2001-04-01,,2.72728,20.422,,1.0
2001-06-30,,2.72728,20.422,,1.0
2001-07-01,,4.65466,20.422,,1.0
2001-09-30,,4.65466,20.422,,1.0
2001-10-01,,4.75837,20.422,,1.0
2001-12-31,,4.75837,20.422,,1.0
2002-01-01,,5.10127,20.422,,1.0
2002-03-31,,5.10127,20.761,,1.0
2002-04-01,,4.49852,20.761,,1.0
2002-06-30,,4.49852,20.761,,1.0
2002-07-01,,4.0172,20.761,,1.0
2002-09-30,,4.0172,20.761,,1.0
2002-10-01,,3.61958,20.761,,1.0
2002-12-31,,3.61958,20.761,,1.0
2003-01-01,,3.78301,20.761,,0.0
2003-03-31,,3.78301,20.855,,0.0
2003-04-01,,4.72829,20.855,,0.0
2003-06-30,,4.72829,20.855,,0.0
2003-07-01,,3.37933,20.855,,0.0
2003-09-30,,3.37933,20.855,,0.0
2003-10-01,,3.35618,20.855,,0.0
2003-12-31,,3.35618,20.855,,0.0
2004-01-01,,3.98899,20.855,,0.0
2004-03-31,,3.98899,20.988,,0.0
2004-04-01,,2.69543,20.988,,0.0
2004-06-30,,2.69543,20.988,,0.0
2004-07-01,1.07181,4.20278,20.988,,0.0
2004-09-30,1.07181,4.20278,20.988,,0.0
2004-10-01,12.17617,4.17493,20.988,,0.0
2004-12-31,12.17617,4.17493,20.988,,0.0
2005-01-01,3.91698,4.23281,20.988,,0.0
2005-03-31,3.91698,4.23281,21.117,,0.0
2005-04-01,-7.29559,4.00262,21.117,,0.0
2005-06-30,-7.29559,4.00262,21.117,,0.0
2005-07-01,0.34989,3.7132,21.117,,0.0
2005-09-30,0.34989,3.7132,21.117,,0.0
2005-10-01,12.72411,5.02547,21.117,,0.0
2005-12-31,12.72411,5.02547,21.117,,0.0
2006-01-01,5.23735,4.50508,21.117,,0.0
2006-03-31,5.23735,4.50508,21.472,,0.0
2006-04-01,-9.77532,5.94915,21.472,,0.0
2006-06-30,-9.77532,5.94915,21.472,,0.0
2006-07-01,2.99657,6.22314,21.472,,0.0
2006-09-30,2.99657,6.22314,21.472,,0.0
2006-10-01,11.94551,6.46412,21.472,,0.0
2006-12-31,11.94551,6.46412,21.472,,0.0
2007-01-01,5.54724,7.0028,21.472,,0.0
2007-03-31,5.54724,7.0028,21.863,,0.0
2007-04-01,-8.94555,6.31869,21.863,,0.0
2007-06-30,-8.94555,6.31869,21.863,,0.0
2007-07-01,1.44506,6.70242,21.863,,0.0
2007-09-30,1.44506,6.70242,21.863,,0.0
2007-10-01,13.38855,5.5118,21.863,,1.0
2007-12-31,13.38855,5.5118,21.863,,1.0
2008-01-01,3.90326,6.28272,21.863,,1.0
2008-03-31,3.90326,6.28272,22.417,,1.0
2008-04-01,-9.56591,7.75194,22.417,,1.0
2008-06-30,-9.56591,7.75194,22.417,,1.0
2008-07-01,0.17925,9.04524,22.417,,1.0
2008-09-30,0.17925,9.04524,22.417,,1.0
2008-10-01,7.86369,10.19902,22.417,,1.0
2008-12-31,7.86369,10.19902,22.417,,1.0
2009-01-01,2.57432,9.3596,22.417,,1.0
2009-03-31,2.57432,9.3596,22.862,,1.0
2009-04-01,-5.27338,8.8729,22.862,,0.0
2009-06-30,-5.27338,8.8729,22.862,,0.0
2009-07-01,2.054,11.75115,22.862,,0.0
2009-09-30,2.054,11.75115,22.862,,0.0
2009-10-01,9.12665,13.31828,22.862,,0.0
2009-12-31,9.12665,13.31828,22.862,,0.0
2010-01-01,7.3621,15.31531,22.862,,0.0
2010-03-31,7.3621,15.31531,23.299,,0.0
2010-04-01,-7.75602,13.6564,23.299,,0.0
2010-06-30,-7.75602,13.6564,23.299,,0.0
2010-07-01,1.48578,10.30926,23.299,,0.0
2010-09-30,1.48578,10.30926,23.299,,0.0
2010-10-01,10.13262,9.16335,23.299,,0.0
2010-12-31,10.13262,9.16335,23.299,,0.0
2011-01-01,7.00871,8.98438,23.299,,1.0
2011-03-31,7.00871,8.98438,23.641,,1.0
2011-04-01,-7.90406,8.91472,23.641,,1.0
2011-06-30,-7.90406,8.91472,23.641,,1.0
2011-07-01,-2.8529,9.15888,23.641,,1.0
