date,gdp_growth,inflation,unemployment,yield_spread,recession
2000-01-01,1.87972,-0.61308,5.0,,0.0
2000-04-01,0.61079,-0.71283,4.9,,0.0
2000-07-01,-0.04489,-0.64692,4.866667,,0.0
2000-10-01,1.03632,-0.78312,4.966667,,0.0
2001-01-01,0.58456,-0.41124,4.933333,,1.0
2001-04-01,-0.75857,-0.71795,5.066667,,1.0
2001-07-01,-1.17712,-0.71967,5.366667,,1.0
2001-10-01,-0.21833,-0.92656,5.6,,1.0
2002-01-01,0.25338,-1.37646,5.566667,,0.0
2002-04-01,0.71773,-0.86088,5.633333,1.27233333333333,0.0
2002-07-01,0.30783,-0.79392,5.7,1.1466666666666698,0.0
2002-10-01,0.23359,-0.55421,5.566667,0.9296666666666633,0.0
2003-01-01,-0.1151,-0.24424,5.633333,0.7060000000000001,0.0
2003-04-01,0.82508,-0.24314,5.666667,0.5063333333333337,0.0
2003-07-01,0.29028,-0.24357,5.366667,1.1706666666666699,0.0
2003-10-01,1.01133,-0.31348,5.233333,1.27666666666667,0.0
2004-01-01,0.85636,-0.13991,5.1,1.2330000000000034,0.0
2004-04-01,-0.07395,-0.31338,4.933333,1.5273333333333368,0.0
2004-07-01,0.55432,-0.10463,4.966667,1.50633333333333,0.0
2004-10-01,-0.38105,0.52411,4.733333,1.3506666666666667,0.0
2005-01-01,0.61904,0.03502,4.733333,1.2579999999999967,0.0
2005-04-01,0.96093,-0.10478,4.633333,1.1293333333333366,0.0
2005-07-01,0.90097,-0.31424,4.5,1.28,0.0
2005-10-01,0.28173,-0.76469,4.666667,1.3916666666666668,0.0
2006-01-01,0.07794,-0.14005,4.4,1.521633333333337,0.0
2006-04-01,0.27657,0.17482,4.333333,1.648666666666667,0.0
2006-07-01,-0.01482,0.63048,4.3,1.3050000000000002,0.0
2006-10-01,1.34532,0.35026,4.233333,1.1879999999999968,0.0
2007-01-01,0.71932,-0.10518,4.2,1.0379999999999998,0.0
2007-04-01,0.15444,-0.06981,3.9,1.0796666666666668,0.0
2007-07-01,-0.65808,-0.13923,3.9,0.8746666666666701,0.0
2007-10-01,0.56961,0.48867,4.033333,0.68633333333333,0.0
2008-01-01,0.21013,0.9828,4.1,0.5210000000000029,0.0
2008-04-01,-0.48037,1.32728,4.1,0.8130000000000029,1.0
2008-07-01,-1.11473,2.16104,4.166667,0.6263333333333331,1.0
2008-10-01,-2.37127,1.04203,4.266667,0.522333333333333,1.0
2009-01-01,-4.43509,-0.10428,4.8,0.5973333333333369,1.0
2009-04-01,1.11988,-0.93071,5.333333,0.838666666666663,0.0
2009-07-01,-0.65275,-2.25181,5.666667,0.7759999999999969,0.0
2009-10-01,1.60805,-2.02819,5.466667,0.8096666666666701,0.0
2010-01-01,1.23949,-0.86987,5.333333,0.88133333333333,0.0
2010-04-01,1.38036,-0.80028,5.366667,0.81766666666667,0.0
2010-07-01,1.72035,-1.01221,5.3,0.635333333333334,0.0
2010-10-01,-0.85589,-0.2807,5.266667,0.72566666666667,1.0
2011-01-01,-1.43602,-0.52651,4.971498,0.8839500000000029,1.0
2011-04-01,-0.6376,-0.38583,4.883976,0.80662,1.0
2011-07-01,2.38999,0.14105,4.66727,0.6943333333333299,1.0
2011-10-01,0.03796,-0.31668,4.7,0.69437666666667,1.0
2012-01-01,1.51821,0.31757,4.733333,0.6309633333333331,1.0
2012-04-01,-0.92478,0.17605,4.633333,0.517036666666667,1.0
2012-07-01,-0.39828,-0.42254,4.5,0.45173,1.0
2012-10-01,-0.0518,-0.24709,4.366667,0.43376,0.0
2013-01-01,1.2737,-0.6683,4.4,0.37503,0.0
2013-04-01,1.02894,-0.28119,4.3,0.5351533333333329,0.0
2013-07-01,0.9469,0.88401,4.133333,0.49433333333333307,0.0
2013-10-01,-0.13784,1.41542,4.066667,0.40733333333333405,1.0
2014-01-01,1.04211,1.52265,3.8,0.387,1.0
2014-04-01,-1.43624,3.56009,3.8,0.36,1.0
2014-07-01,0.19405,3.36492,3.733333,0.29400000000000004,1.0
2014-10-01,0.58075,2.582,3.6,0.22066666666666704,1.0
2015-01-01,1.60603,2.30207,3.666667,0.16366666666666702,1.0
2015-04-01,0.0629,0.57866,3.5,0.22566666666666702,1.0
2015-07-01,0.14655,0.10172,3.5,0.211,1.0
2015-10-01,-0.19036,0.23811,3.433333,0.12099999999999997,1.0
2016-01-01,0.86484,0.03409,3.4,-0.1283333333333336,1.0
2016-04-01,-0.3399,-0.37228,3.333333,-0.2046666666666667,1.0
2016-07-01,0.22509,-0.47429,3.2,-0.1740000000000003,1.0
2016-10-01,0.01739,0.30537,3.166667,-0.0526666666666667,0.0
2017-01-01,0.72362,0.34083,3.033333,0.010666666666666692,0.0
2017-04-01,0.32344,0.4076,3.033333,-0.012666666666666701,0.0
2017-07-01,1.1388,0.61266,2.966667,-0.014000000000000005,0.0
2017-10-01,0.15892,0.57509,2.833333,-0.014666666666666703,0.0
2018-01-01,-0.16016,1.29072,2.666667,-0.021000000000000005,0.0
2018-04-01,0.63134,0.67658,2.5,-0.0476666666666666,0.0
2018-07-01,-0.48767,1.1164,2.566667,0.021000000000000005,0.0
2018-10-01,0.07393,0.87451,2.6,0.0183333333333333,0.0
2019-01-01,0.12109,0.30189,2.6,-0.0733333333333334,0.0
2019-04-01,0.3936,0.73926,2.5,-0.1510000000000003,0.0
2019-07-01,0.0508,0.3345,2.366667,-0.24066666666666628,1.0
2019-10-01,-2.87248,0.50023,2.4,-0.101,1.0
2020-01-01,0.37818,0.66866,2.566667,-0.0876666666666667,1.0
2020-04-01,-7.22605,0.13338,2.866667,0.0376666666666667,1.0
2020-07-01,4.99097,0.03341,3.1,0.085,0.0
2020-10-01,1.66965,-0.929,3.233333,0.08499999999999999,0.0
2021-01-01,1.06964,-0.53141,3.033333,0.1666666666666663,0.0
2021-04-01,0.7228,-0.73276,3.033333,0.1406666666666666,0.0
2021-07-01,-0.14857,-0.73276,2.9,0.10533333333333329,0.0
2021-10-01,1.20335,-0.73276,2.9,0.136,0.0
2022-01-01,-0.3701,-0.73276,2.833333,0.23566666666666702,0.0
2022-04-01,0.9632,-0.73276,2.766667,0.256,0.0
2022-07-01,-0.36207,-0.73276,2.733333,0.23566666666666627,0.0
2022-10-01,0.45892,-0.73276,2.7,0.31733333333333374,0.0
2023-01-01,0.72583,-0.73276,2.733333,0.4410000000000003,0.0
2023-04-01,0.19804,-0.73276,2.7,0.4109999999999996,0.0
2023-07-01,-1.37978,-0.73276,2.733333,0.660666666666667,0.0
2023-10-01,0.53659,-0.73276,2.666667,0.7219999999999996,0.0
2024-01-01,-0.57915,-0.73276,2.7,0.6680000000000003,0.0
2024-04-01,0.17906,-0.73276,2.733333,0.867666666666667,0.0
2024-07-01,0.67431,-0.73276,2.666667,0.704333333333333,0.0
2024-10-01,0.47341,-0.73276,2.6,0.6903333333333329,0.0
