date,gdp_growth,inflation,debt_to_gdp,interest_rate,unemployment,yield_spread,recession
2000-01-01,0.36279,3.25779,57.72134,5.68,4.0,0.9500000000000002,0.0
2000-04-01,1.82129,3.29383,55.48491,6.27,3.9,0.46999999999999975,0.0
2000-07-01,0.10193,3.4689,54.99213,6.52,4.0,-0.1299999999999999,0.0
2000-10-01,0.59704,3.4435,54.2579,6.47,3.9,-0.4499999999999993,0.0
2001-01-01,-0.3278,3.40976,55.14434,5.59,4.2,0.21999999999999975,0.0
2001-04-01,0.6245,3.32491,54.03165,4.33,4.4,1.62,1.0
2001-07-01,-0.40064,2.67823,54.79763,3.5,4.8,1.83,1.0
2001-10-01,0.27478,1.87488,55.75216,2.13,5.5,2.8499999999999996,1.0
2002-01-01,0.83636,1.23176,55.6965,1.73,5.7,3.3600000000000003,0.0
2002-04-01,0.61271,1.31728,56.27087,1.75,5.8,3.4000000000000004,0.0
2002-07-01,0.40651,1.57628,56.7026,1.74,5.7,2.63,0.0
2002-10-01,0.12361,2.25352,57.91028,1.44,5.9,2.67,0.0
2003-01-01,0.52664,2.97641,57.81906,1.25,5.9,2.76,0.0
2003-04-01,0.88562,2.00594,58.96101,1.25,6.1,2.58,0.0
2003-07-01,1.6632,2.21689,58.64541,1.02,6.1,3.3000000000000003,0.0
2003-10-01,1.16072,2.00184,59.44466,1.0,5.8,3.37,0.0
2004-01-01,0.56665,1.81785,59.8071,1.0,5.7,3.09,0.0
2004-04-01,0.77495,2.78587,60.05487,1.01,5.6,3.5199999999999996,0.0
2004-07-01,0.94859,2.67486,59.96643,1.43,5.4,2.8099999999999996,0.0
2004-10-01,1.02021,3.38495,60.63713,1.95,5.4,2.17,0.0
2005-01-01,1.10936,3.03517,60.91302,2.47,5.3,1.7599999999999998,0.0
2005-04-01,0.49262,2.92294,60.64153,2.94,5.1,1.3000000000000003,0.0
2005-07-01,0.78381,3.81975,60.35856,3.46,5.0,0.8599999999999999,0.0
2005-10-01,0.55552,3.67468,61.32008,3.98,5.0,0.6600000000000001,0.0
2006-01-01,1.34538,3.69087,61.55642,4.46,4.7,0.1900000000000004,0.0
2006-04-01,0.25875,3.92427,61.22142,4.91,4.6,0.3700000000000001,0.0
2006-07-01,0.14996,3.34012,61.3328,5.25,4.6,-0.020000000000000462,0.0
2006-10-01,0.85945,1.9654,61.82689,5.25,4.4,-0.27000000000000046,0.0
2007-01-01,0.30084,2.43165,62.25297,5.26,4.5,-0.3000000000000007,0.0
2007-04-01,0.61176,2.66529,61.57219,5.25,4.5,0.10999999999999943,0.0
2007-07-01,0.57603,2.34897,61.84826,5.07,4.7,0.4400000000000004,0.0
2007-10-01,0.62824,4.03114,62.71924,4.5,4.8,0.8799999999999994,0.0
2008-01-01,-0.42676,4.13704,64.17278,3.18,5.0,1.63,1.0
2008-04-01,0.59543,4.31042,63.85172,2.09,5.3,2.25,1.0
2008-07-01,-0.52526,5.2525,67.28455,1.94,6.0,2.37,1.0
2008-10-01,-2.18903,1.5958,73.24515,0.51,6.9,2.93,1.0
2009-01-01,-1.13487,-0.18424,77.10496,0.18,8.3,2.5300000000000002,1.0
2009-04-01,-0.17865,-0.94214,80.28013,0.18,9.3,3.15,1.0
2009-07-01,0.35119,-1.60696,82.42733,0.16,9.6,3.36,0.0
2009-10-01,1.08091,1.48766,84.02935,0.12,9.9,3.4,0.0
2010-01-01,0.4845,2.35257,86.51175,0.13,9.8,3.6100000000000003,0.0
2010-04-01,0.96759,1.77527,88.12832,0.19,9.6,3.3400000000000003,0.0
2010-07-01,0.77108,1.20288,89.56528,0.19,9.5,2.6199999999999997,0.0
2010-10-01,0.52511,1.22978,91.61134,0.19,9.5,2.7399999999999998,0.0
2011-01-01,-0.2372,2.14822,92.95614,0.16,9.0,3.33,0.0
2011-04-01,0.67658,3.34611,92.1938,0.09,9.1,3.1500000000000004,0.0
2011-07-01,-0.02231,3.71595,94.52098,0.08,9.0,2.39,0.0
2011-10-01,1.12305,3.34473,96.09072,0.07,8.6,2.04,0.0
2012-01-01,0.83859,2.82932,97.12308,0.1,8.3,1.97,0.0
2012-04-01,0.44633,1.88792,97.82763,0.15,8.2,1.74,0.0
2012-07-01,0.14403,1.68486,98.44787,0.14,8.0,1.5399999999999998,0.0
2012-10-01,0.11564,1.90357,100.07497,0.16,7.8,1.6199999999999999,0.0
2013-01-01,0.98656,1.7402,100.73997,0.14,7.7,1.8599999999999999,0.0
2013-04-01,0.26764,1.41472,100.05758,0.12,7.5,1.94,0.0
2013-07-01,0.85139,1.50495,98.72797,0.08,7.2,2.68,0.0
2013-10-01,0.87174,1.2073,99.79118,0.09,6.9,2.68,0.0
2014-01-01,-0.3451,1.42991,102.34617,0.07,6.7,2.72,0.0
2014-04-01,1.29184,2.08034,100.6513,0.09,6.2,2.5900000000000003,0.0
2014-07-01,1.21539,1.79097,100.11145,0.09,6.1,2.47,0.0
2014-10-01,0.50573,1.16401,101.2805,0.1,5.7,2.26,0.0
2015-01-01,0.90048,-0.11289,100.49009,0.11,5.5,1.94,0.0
2015-04-01,0.61941,0.03701,99.30094,0.12,5.4,2.14,0.0
2015-07-01,0.40025,0.15861,98.63595,0.14,5.1,2.18,0.0
2015-10-01,0.18448,0.40047,102.64192,0.16,5.0,2.07,0.0
2016-01-01,0.57952,0.99184,103.98904,0.36,4.9,1.6199999999999999,0.0
2016-04-01,0.32112,1.11003,103.58005,0.37,4.9,1.49,0.0
2016-07-01,0.70939,1.15715,103.60355,0.4,4.9,1.26,0.0
