observation_date,TB3MS
2000-01-01,5.52
2000-04-01,5.71
2000-07-01,6.02
2000-10-01,6.02
2001-01-01,4.82
2001-04-01,3.66
2001-07-01,3.17
2001-10-01,1.91
2002-01-01,1.72
2002-04-01,1.71
2002-07-01,1.64
2002-10-01,1.33
2003-01-01,1.16
2003-04-01,1.04
2003-07-01,0.93
2003-10-01,0.92
2004-01-01,0.92
2004-04-01,1.08
2004-07-01,1.49
2004-10-01,2.01
2005-01-01,2.54
2005-04-01,2.86
2005-07-01,3.36
2005-10-01,3.83
2006-01-01,4.39
2006-04-01,4.70
2006-07-01,4.91
2006-10-01,4.90
2007-01-01,4.98
2007-04-01,4.74
2007-07-01,4.30
2007-10-01,3.39
2008-01-01,2.04
2008-04-01,1.63
2008-07-01,1.49
2008-10-01,0.30
2009-01-01,0.21
2009-04-01,0.17
2009-07-01,0.16
2009-10-01,0.06
2010-01-01,0.11
2010-04-01,0.15
2010-07-01,0.16
2010-10-01,0.14
2011-01-01,0.13
2011-04-01,0.05
2011-07-01,0.02
2011-10-01,0.01
2012-01-01,0.07
2012-04-01,0.09
2012-07-01,0.10
2012-10-01,0.09
2013-01-01,0.09
2013-04-01,0.05
2013-07-01,0.03
2013-10-01,0.06
2014-01-01,0.05
2014-04-01,0.03
2014-07-01,0.03
2014-10-01,0.02
2015-01-01,0.03
2015-04-01,0.02
2015-07-01,0.04
2015-10-01,0.12
2016-01-01,0.29
2016-04-01,0.26
2016-07-01,0.30
2016-10-01,0.43
2017-01-01,0.59
2017-04-01,0.89
2017-07-01,1.04
2017-10-01,1.21
2018-01-01,1.56
2018-04-01,1.84
2018-07-01,2.04
2018-10-01,2.32
2019-01-01,2.39
2019-04-01,2.30
2019-07-01,1.98
2019-10-01,1.58
2020-01-01,1.11
2020-04-01,0.14
2020-07-01,0.11
2020-10-01,0.09
2021-01-01,0.05
2021-04-01,0.03
2021-07-01,0.05
2021-10-01,0.05
2022-01-01,0.31
2022-04-01,1.08
2022-07-01,2.66
2022-10-01,4.04
2023-01-01,4.63
2023-04-01,5.07
2023-07-01,5.29
2023-10-01,5.28
2024-01-01,5.23
2024-04-01,5.24
2024-07-01,4.99
2024-10-01,4.40
