observation_date,CLVMNACSCAB1GQDE_PCH
2000-01-01,1.54217
2000-04-01,0.79775
2000-07-01,0.07305
2000-10-01,-0.42585
2001-01-01,2.12304
2001-04-01,-0.25125
2001-07-01,0.00000
2001-10-01,-0.31186
2002-01-01,-0.46628
2002-04-01,0.38684
2002-07-01,0.68642
2002-10-01,-0.27508
2003-01-01,-1.35822
2003-04-01,0.14589
2003-07-01,0.91052
2003-10-01,0.12032
2004-01-01,-0.15321
2004-04-01,0.58972
2004-07-01,-0.32304
2004-10-01,-0.03600
2005-01-01,0.15907
2005-04-01,0.59944
2005-07-01,0.78655
2005-10-01,0.37839
2006-01-01,1.11609
2006-04-01,1.71249
2006-07-01,0.75593
2006-10-01,1.46641
2007-01-01,0.13165
2007-04-01,0.66012
2007-07-01,0.51128
2007-10-01,0.74091
2008-01-01,0.58732
2008-04-01,-0.36013
2008-07-01,-0.54766
2008-10-01,-1.55286
2009-01-01,-4.68718
2009-04-01,0.24648
2009-07-01,0.62055
2009-10-01,0.76797
2010-01-01,0.72736
2010-04-01,2.16668
2010-07-01,0.96499
2010-10-01,0.65571
2011-01-01,1.80790
2011-04-01,0.27113
2011-07-01,0.54077
2011-10-01,-0.01075
2012-01-01,0.21247
2012-04-01,0.10737
2012-07-01,0.20374
2012-10-01,-0.29965
2013-01-01,-0.55287
2013-04-01,1.16581
2013-07-01,0.51215
2013-10-01,0.14863
2014-01-01,1.04406
2014-04-01,-0.02099
2014-07-01,0.55608
2014-10-01,0.76169
2015-01-01,-0.21741
2015-04-01,0.51888
2015-07-01,0.53686
2015-10-01,0.51345
2016-01-01,0.87869
2016-04-01,0.22280
2016-07-01,0.35368
2016-10-01,0.46320
2017-01-01,1.29800
2017-04-01,0.71246
2017-07-01,0.79583
2017-10-01,1.01374
2018-01-01,-0.55246
2018-04-01,0.78596
2018-07-01,-0.65467
2018-10-01,0.44579
2019-01-01,0.65605
2019-04-01,0.05751
2019-07-01,0.38319
2019-10-01,-0.33400
2020-01-01,-2.02988
2020-04-01,-8.87412
2020-07-01,8.67654
2020-10-01,0.96714
2021-01-01,-0.61577
2021-04-01,2.35050
2021-07-01,0.08648
2021-10-01,0.53764
2022-01-01,0.67800
2022-04-01,0.15175
2022-07-01,0.29359
2022-10-01,-0.34938
2023-01-01,-0.47142
2023-04-01,-0.07618
2023-07-01,0.00001
2023-10-01,-0.27632
2024-01-01,-0.10748
2024-04-01,-0.25825
2024-07-01,0.01917
2024-10-01,0.18218
