observation_date,NGDPRNSAXDCINQ_PCH
2004-07-01,1.07181
2004-10-01,12.17617
2005-01-01,3.91698
2005-04-01,-7.29559
2005-07-01,0.34989
2005-10-01,12.72411
2006-01-01,5.23735
2006-04-01,-9.77532
2006-07-01,2.99657
2006-10-01,11.94551
2007-01-01,5.54724
2007-04-01,-8.94555
2007-07-01,1.44506
2007-10-01,13.38855
2008-01-01,3.90326
2008-04-01,-9.56591
2008-07-01,0.17925
2008-10-01,7.86369
2009-01-01,2.57432
2009-04-01,-5.27338
2009-07-01,2.05400
2009-10-01,9.12665
2010-01-01,7.36210
2010-04-01,-7.75602
2010-07-01,1.48578
2010-10-01,10.13262
2011-01-01,7.00871
2011-04-01,-7.90406
2011-07-01,-2.85290
2011-10-01,8.92201
2012-01-01,6.30641
2012-04-01,-6.77407
2012-07-01,-0.42071
2012-10-01,6.77709
2013-01-01,5.21649
2013-04-01,-4.85130
2013-07-01,0.41248
2013-10-01,5.97852
2014-01-01,4.03924
2014-04-01,-2.42976
2014-07-01,1.04470
2014-10-01,3.26689
2015-01-01,5.20744
2015-04-01,-1.99210
2015-07-01,1.45911
2015-10-01,2.46742
2016-01-01,7.06358
2016-04-01,-2.35944
2016-07-01,2.38334
2016-10-01,1.44497
2017-01-01,4.80925
2017-04-01,-2.52165
2017-07-01,1.61646
2017-10-01,2.74604
2018-01-01,7.03401
2018-04-01,-3.80419
2018-07-01,0.63103
2018-10-01,2.53013
2019-01-01,6.51761
2019-04-01,-4.37340
2019-07-01,-0.13211
2019-10-01,1.50508
2020-01-01,6.19707
2020-04-01,-28.59849
2020-07-01,22.33828
2020-10-01,9.71328
2021-01-01,7.77759
2021-04-01,-15.22651
2021-07-01,9.60113
2021-10-01,5.38252
2022-01-01,6.67843
2022-04-01,-7.89138
2022-07-01,2.32677
2022-10-01,4.27439
2023-01-01,8.76725
2023-04-01,-5.51063
2023-07-01,2.03091
2023-10-01,4.43810
2024-01-01,7.61525
2024-04-01,-7.11765
2024-07-01,1.16899
2024-10-01,5.18417
