observation_date,SLUEM1524ZSIND
1991-01-01,20.182
1992-01-01,20.257
1993-01-01,20.350
1994-01-01,20.265
1995-01-01,20.202
1996-01-01,20.118
1997-01-01,20.185
1998-01-01,20.224
1999-01-01,20.190
2000-01-01,20.198
2001-01-01,20.422
2002-01-01,20.761
2003-01-01,20.855
2004-01-01,20.988
2005-01-01,21.117
2006-01-01,21.472
2007-01-01,21.863
2008-01-01,22.417
2009-01-01,22.862
2010-01-01,23.299
2011-01-01,23.641
2012-01-01,24.135
2013-01-01,24.473
2014-01-01,24.709
2015-01-01,24.959
2016-01-01,25.230
2017-01-01,25.591
2018-01-01,26.003
2019-01-01,22.947
2020-01-01,24.666
2021-01-01,20.824
2022-01-01,17.732
2023-01-01,15.595
2024-01-01,15.746
