observation_date,LRUN64TTJPQ156S
2000-01-01,5.000000
2000-04-01,4.900000
2000-07-01,4.866667
2000-10-01,4.966667
2001-01-01,4.933333
2001-04-01,5.066667
2001-07-01,5.366667
2001-10-01,5.600000
2002-01-01,5.566667
2002-04-01,5.633333
2002-07-01,5.700000
2002-10-01,5.566667
2003-01-01,5.633333
2003-04-01,5.666667
2003-07-01,5.366667
2003-10-01,5.233333
2004-01-01,5.100000
2004-04-01,4.933333
2004-07-01,4.966667
2004-10-01,4.733333
2005-01-01,4.733333
2005-04-01,4.633333
2005-07-01,4.500000
2005-10-01,4.666667
2006-01-01,4.400000
2006-04-01,4.333333
2006-07-01,4.300000
2006-10-01,4.233333
2007-01-01,4.200000
2007-04-01,3.900000
2007-07-01,3.900000
2007-10-01,4.033333
2008-01-01,4.100000
2008-04-01,4.100000
2008-07-01,4.166667
2008-10-01,4.266667
2009-01-01,4.800000
2009-04-01,5.333333
2009-07-01,5.666667
2009-10-01,5.466667
2010-01-01,5.333333
2010-04-01,5.366667
2010-07-01,5.300000
2010-10-01,5.266667
2011-01-01,4.971498
2011-04-01,4.883976
2011-07-01,4.667270
2011-10-01,4.700000
2012-01-01,4.733333
2012-04-01,4.633333
2012-07-01,4.500000
2012-10-01,4.366667
2013-01-01,4.400000
2013-04-01,4.300000
2013-07-01,4.133333
2013-10-01,4.066667
2014-01-01,3.800000
2014-04-01,3.800000
2014-07-01,3.733333
2014-10-01,3.600000
2015-01-01,3.666667
2015-04-01,3.500000
2015-07-01,3.500000
2015-10-01,3.433333
2016-01-01,3.400000
2016-04-01,3.333333
2016-07-01,3.200000
2016-10-01,3.166667
2017-01-01,3.033333
2017-04-01,3.033333
2017-07-01,2.966667
2017-10-01,2.833333
2018-01-01,2.666667
2018-04-01,2.500000
2018-07-01,2.566667
2018-10-01,2.600000
2019-01-01,2.600000
2019-04-01,2.500000
2019-07-01,2.366667
2019-10-01,2.400000
2020-01-01,2.566667
2020-04-01,2.866667
2020-07-01,3.100000
2020-10-01,3.233333
2021-01-01,3.033333
2021-04-01,3.033333
2021-07-01,2.900000
2021-10-01,2.900000
2022-01-01,2.833333
2022-04-01,2.766667
2022-07-01,2.733333
2022-10-01,2.700000
2023-01-01,2.733333
2023-04-01,2.700000
2023-07-01,2.733333
2023-10-01,2.666667
2024-01-01,2.700000
2024-04-01,2.733333
2024-07-01,2.666667
2024-10-01,2.600000
