observation_date,UKNGDP_PCH
2000-01-01,1.90093
2000-04-01,0.56735
2000-07-01,0.71719
2000-10-01,0.70486
2001-01-01,1.68262
2001-04-01,1.36717
2001-07-01,0.60152
2001-10-01,0.18975
2002-01-01,1.37849
2002-04-01,1.06269
2002-07-01,0.96363
2002-10-01,1.34762
2003-01-01,1.20828
2003-04-01,1.96602
2003-07-01,1.67462
2003-10-01,1.11423
2004-01-01,0.58059
2004-04-01,2.08665
2004-07-01,0.43828
2004-10-01,2.02696
2005-01-01,0.76078
2005-04-01,2.27095
2005-07-01,1.09324
2005-10-01,1.40341
2006-01-01,1.17500
2006-04-01,1.63461
2006-07-01,1.10170
2006-10-01,0.48285
2007-01-01,1.14616
2007-04-01,2.44988
2007-07-01,0.75912
2007-10-01,0.84934
2008-01-01,1.39569
2008-04-01,0.74328
2008-07-01,-0.13658
2008-10-01,-1.10907
2009-01-01,-1.98704
2009-04-01,-0.16009
2009-07-01,0.52113
2009-10-01,-0.48034
2010-01-01,2.26715
2010-04-01,1.20841
2010-07-01,0.80410
2010-10-01,0.59629
2011-01-01,1.93882
2011-04-01,-0.59565
2011-07-01,0.98517
2011-10-01,0.75242
2012-01-01,1.27900
2012-04-01,0.01055
2012-07-01,1.54418
2012-10-01,0.41151
2013-01-01,1.14189
2013-04-01,0.81538
2013-07-01,1.60022
2013-10-01,0.87814
2014-01-01,1.31938
2014-04-01,0.86502
2014-07-01,2.03328
2014-10-01,0.31364
2015-01-01,0.50757
2015-04-01,0.28576
2015-07-01,0.69006
2015-10-01,1.08517
2016-01-01,0.96654
2016-04-01,0.89558
2016-07-01,1.47207
2016-10-01,1.25086
2017-01-01,1.29709
2017-04-01,0.83316
2017-07-01,0.67962
2017-10-01,1.51915
2018-01-01,0.37964
2018-04-01,1.03819
2018-07-01,0.82131
2018-10-01,0.98265
2019-01-01,0.62977
2019-04-01,1.26556
2019-07-01,1.15081
2019-10-01,0.54278
2020-01-01,-1.95712
2020-04-01,-13.96905
2020-07-01,12.27944
2020-10-01,0.64591
2021-01-01,0.24034
2021-04-01,5.76189
2021-07-01,2.80682
2021-10-01,2.63149
2022-01-01,2.41820
2022-04-01,2.61294
2022-07-01,1.71127
2022-10-01,2.79531
2023-01-01,1.61353
2023-04-01,1.53476
2023-07-01,0.48781
2023-10-01,-0.37692
2024-01-01,2.27226
2024-04-01,1.59973
2024-07-01,1.65079
2024-10-01,1.21600
