observation_date,IR3TIB01GBM156N
2000-01-01,6.20084
2000-04-01,6.27562
2000-07-01,6.20523
2000-10-01,6.06814
2001-01-01,5.71786
2001-04-01,5.30387
2001-07-01,4.99347
2001-10-01,4.15852
2002-01-01,4.07667
2002-04-01,4.16816
2002-07-01,4.01193
2002-10-01,3.98440
2003-01-01,3.79730
2003-04-01,3.63939
2003-07-01,3.56980
2003-10-01,3.93415
2004-01-01,4.17286
2004-04-01,4.57106
2004-07-01,4.92225
2004-10-01,4.88511
2005-01-01,4.91707
2005-04-01,4.89285
2005-07-01,4.61648
2005-10-01,4.61427
2006-01-01,4.59103
2006-04-01,4.68869
2006-07-01,4.90083
2006-10-01,5.21629
2007-01-01,5.53380
2007-04-01,5.76553
2007-07-01,6.36345
2007-10-01,6.34605
2008-01-01,5.73365
2008-04-01,5.89155
2008-07-01,5.83633
2008-10-01,4.58412
2009-01-01,2.08818
2009-04-01,1.37775
2009-07-01,0.79347
2009-10-01,0.59521
2010-01-01,0.63041
2010-04-01,0.69381
2010-07-01,0.73253
2010-10-01,0.74234
2011-01-01,0.79247
2011-04-01,0.82317
2011-07-01,0.86827
2011-10-01,1.01440
2012-01-01,1.06572
2012-04-01,0.99090
2012-07-01,0.72340
2012-10-01,0.52899
2013-01-01,0.50968
2013-04-01,0.50638
2013-07-01,0.51298
2013-10-01,0.52160
2014-01-01,0.52134
2014-04-01,0.53268
2014-07-01,0.56017
2014-10-01,0.55761
2015-01-01,0.56353
2015-04-01,0.56979
2015-07-01,0.58443
2015-10-01,0.57885
2016-01-01,0.58958
2016-04-01,0.58429
2016-07-01,0.43293
2016-10-01,0.38916
2017-01-01,0.35484
2017-04-01,0.31345
2017-07-01,0.29447
2017-10-01,0.47305
2018-01-01,0.56592
2018-04-01,0.67951
2018-07-01,0.78410
2018-10-01,0.86182
2019-01-01,0.87807
2019-04-01,0.80000
2019-07-01,0.76667
2019-10-01,0.78667
2020-01-01,0.67333
2020-04-01,0.39000
2020-07-01,0.07667
2020-10-01,0.04000
2021-01-01,0.05333
2021-04-01,0.08333
2021-07-01,0.07333
2021-10-01,0.15000
2022-01-01,0.77667
2022-04-01,1.33667
2022-07-01,2.32667
2022-10-01,3.56333
2023-01-01,4.18333
2023-04-01,4.78000
2023-07-01,5.51333
2023-10-01,5.32667
2024-01-01,5.20333
2024-04-01,5.16667
2024-07-01,4.94667
2024-10-01,4.69000
