observation_date,IRLTLT01GBM156N
2000-01-01,5.6094
2000-04-01,5.3114
2000-07-01,5.3191
2000-10-01,5.0760
2001-01-01,4.7916
2001-04-01,5.0857
2001-07-01,5.0589
2001-10-01,4.7817
2002-01-01,5.0208
2002-04-01,5.2003
2002-07-01,4.7498
2002-10-01,4.6061
2003-01-01,4.3091
2003-04-01,4.2662
2003-07-01,4.5750
2003-10-01,4.9560
2004-01-01,4.7673
2004-04-01,5.0896
2004-07-01,5.0088
2004-10-01,4.6634
2005-01-01,4.6421
2005-04-01,4.4413
2005-07-01,4.2790
2005-10-01,4.2932
2006-01-01,4.1824
2006-04-01,4.6103
2006-07-01,4.6206
2006-10-01,4.5934
2007-01-01,4.8616
2007-04-01,5.2073
2007-07-01,5.1837
2007-10-01,4.7925
2008-01-01,4.5203
2008-04-01,4.9073
2008-07-01,4.7821
2008-10-01,4.1533
2009-01-01,3.5365
2009-04-01,3.5833
2009-07-01,3.7315
2009-10-01,3.7387
2010-01-01,4.0521
2010-04-01,3.8262
2010-07-01,3.2896
2010-10-01,3.3298
2011-01-01,3.7819
2011-04-01,3.5605
2011-07-01,2.8670
2011-10-01,2.3345
2012-01-01,2.2175
2012-04-01,1.9744
2012-07-01,1.6827
2012-10-01,1.7976
2013-01-01,2.0781
2013-04-01,2.0116
2013-07-01,2.6747
2013-10-01,2.7947
2014-01-01,2.8361
2014-04-01,2.7416
2014-07-01,2.5870
2014-10-01,2.1116
2015-01-01,1.7065
2015-04-01,1.9830
2015-07-01,1.9989
2015-10-01,1.9158
2016-01-01,1.6100
2016-04-01,1.4720
2016-07-01,0.8411
2016-10-01,1.2978
2017-01-01,1.3067
2017-04-01,1.0937
2017-07-01,1.2130
2017-10-01,1.3299
2018-01-01,1.5015
2018-04-01,1.4784
2018-07-01,1.4251
2018-10-01,1.4376
2019-01-01,1.2504
2019-04-01,1.0799
2019-07-01,0.6687
2019-10-01,0.7444
2020-01-01,0.6058
2020-04-01,0.3033
2020-07-01,0.2514
2020-10-01,0.3373
2021-01-01,0.6117
2021-04-01,0.8707
2021-07-01,0.7147
2021-10-01,0.9533
2022-01-01,1.4133
2022-04-01,2.0418
2022-07-01,2.6580
2022-10-01,3.6761
2023-01-01,3.5435
2023-04-01,3.9928
2023-07-01,4.4623
2023-10-01,4.2346
2024-01-01,4.0293
2024-04-01,4.2015
2024-07-01,3.9961
2024-10-01,4.3501
