observation_date,CPIAUCSL_PC1
2000-01-01,3.25779
2000-04-01,3.29383
2000-07-01,3.46890
2000-10-01,3.44350
2001-01-01,3.40976
2001-04-01,3.32491
2001-07-01,2.67823
2001-10-01,1.87488
2002-01-01,1.23176
2002-04-01,1.31728
2002-07-01,1.57628
2002-10-01,2.25352
2003-01-01,2.97641
2003-04-01,2.00594
2003-07-01,2.21689
2003-10-01,2.00184
2004-01-01,1.81785
2004-04-01,2.78587
2004-07-01,2.67486
2004-10-01,3.38495
2005-01-01,3.03517
2005-04-01,2.92294
2005-07-01,3.81975
2005-10-01,3.67468
2006-01-01,3.69087
2006-04-01,3.92427
2006-07-01,3.34012
2006-10-01,1.96540
2007-01-01,2.43165
2007-04-01,2.66529
2007-07-01,2.34897
2007-10-01,4.03114
2008-01-01,4.13704
2008-04-01,4.31042
2008-07-01,5.25250
2008-10-01,1.59580
2009-01-01,-0.18424
2009-04-01,-0.94214
2009-07-01,-1.60696
2009-10-01,1.48766
2010-01-01,2.35257
2010-04-01,1.77527
2010-07-01,1.20288
2010-10-01,1.22978
2011-01-01,2.14822
2011-04-01,3.34611
2011-07-01,3.71595
2011-10-01,3.34473
2012-01-01,2.82932
2012-04-01,1.88792
2012-07-01,1.68486
2012-10-01,1.90357
2013-01-01,1.74020
2013-04-01,1.41472
2013-07-01,1.50495
2013-10-01,1.20730
2014-01-01,1.42991
2014-04-01,2.08034
2014-07-01,1.79097
2014-10-01,1.16401
2015-01-01,-0.11289
2015-04-01,0.03701
2015-07-01,0.15861
2015-10-01,0.40047
2016-01-01,0.99184
2016-04-01,1.11003
2016-07-01,1.15715
2016-10-01,1.80698
2017-01-01,2.58713
2017-04-01,1.89059
2017-07-01,1.94494
2017-10-01,2.10778
2018-01-01,2.24862
2018-04-01,2.68679
2018-07-01,2.60892
2018-10-01,2.21352
2019-01-01,1.63002
2019-04-01,1.82238
2019-07-01,1.74940
2019-10-01,2.04859
2020-01-01,2.14377
2020-04-01,0.40928
2020-07-01,1.22314
2020-10-01,1.24227
2021-01-01,1.90276
2021-04-01,4.78296
2021-07-01,5.24956
2021-10-01,6.77144
2022-01-01,8.02425
2022-04-01,8.58498
2022-07-01,8.29211
2022-10-01,7.09195
2023-01-01,5.72985
2023-04-01,4.04394
2023-07-01,3.56605
2023-10-01,3.23350
2024-01-01,3.24436
2024-04-01,3.19152
2024-07-01,2.65761
2024-10-01,2.72317
