observation_date,DGS10
2000-01-01,6.47
2000-04-01,6.18
2000-07-01,5.89
2000-10-01,5.57
2001-01-01,5.04
2001-04-01,5.28
2001-07-01,5.00
2001-10-01,4.76
2002-01-01,5.08
2002-04-01,5.11
2002-07-01,4.27
2002-10-01,4.00
2003-01-01,3.92
2003-04-01,3.62
2003-07-01,4.23
2003-10-01,4.29
2004-01-01,4.01
2004-04-01,4.60
2004-07-01,4.30
2004-10-01,4.18
2005-01-01,4.30
2005-04-01,4.16
2005-07-01,4.22
2005-10-01,4.49
2006-01-01,4.58
2006-04-01,5.07
2006-07-01,4.89
2006-10-01,4.63
2007-01-01,4.68
2007-04-01,4.85
2007-07-01,4.74
2007-10-01,4.27
2008-01-01,3.67
2008-04-01,3.88
2008-07-01,3.86
2008-10-01,3.23
2009-01-01,2.74
2009-04-01,3.32
2009-07-01,3.52
2009-10-01,3.46
2010-01-01,3.72
2010-04-01,3.49
2010-07-01,2.78
2010-10-01,2.88
2011-01-01,3.46
2011-04-01,3.20
2011-07-01,2.41
2011-10-01,2.05
2012-01-01,2.04
2012-04-01,1.83
2012-07-01,1.64
2012-10-01,1.71
2013-01-01,1.95
2013-04-01,1.99
2013-07-01,2.71
2013-10-01,2.74
2014-01-01,2.77
2014-04-01,2.62
2014-07-01,2.50
2014-10-01,2.28
2015-01-01,1.97
2015-04-01,2.16
2015-07-01,2.22
2015-10-01,2.19
2016-01-01,1.91
2016-04-01,1.75
2016-07-01,1.56
2016-10-01,2.14
2017-01-01,2.45
2017-04-01,2.26
2017-07-01,2.24
2017-10-01,2.37
2018-01-01,2.76
2018-04-01,2.92
2018-07-01,2.92
2018-10-01,3.04
2019-01-01,2.65
2019-04-01,2.34
2019-07-01,1.80
2019-10-01,1.79
2020-01-01,1.37
2020-04-01,0.69
2020-07-01,0.65
2020-10-01,0.86
2021-01-01,1.34
2021-04-01,1.59
2021-07-01,1.32
2021-10-01,1.53
2022-01-01,1.95
2022-04-01,2.93
2022-07-01,3.10
2022-10-01,3.83
2023-01-01,3.65
2023-04-01,3.60
2023-07-01,4.15
2023-10-01,4.45
2024-01-01,4.16
2024-04-01,4.45
2024-07-01,3.95
2024-10-01,4.28
